Date,Open,High,Low,Close,correlation
2017-08-17,2462.95,2465.02,2430.01,2430.01,
2017-08-18,2427.64,2440.27,2420.69,2425.55,
2017-08-19,2427.64,2440.27,2420.69,2425.55,
2017-08-20,2427.64,2440.27,2420.69,2425.55,
2017-08-21,2425.5,2430.58,2417.35,2428.37,
2017-08-22,2433.75,2454.77,2433.67,2452.51,
2017-08-23,2444.88,2448.91,2441.42,2444.04,
2017-08-24,2447.91,2450.39,2436.19,2438.97,
2017-08-25,2444.72,2453.96,2442.22,2443.05,
2017-08-26,2444.72,2453.96,2442.22,2443.05,
2017-08-27,2444.72,2453.96,2442.22,2443.05,
2017-08-28,2447.35,2449.12,2439.03,2444.24,
2017-08-29,2431.94,2449.19,2428.2,2446.3,
2017-08-30,2446.06,2460.31,2443.77,2457.59,0.7468582826059076
2017-08-31,2462.65,2475.01,2462.65,2471.65,0.7974177439738586
2017-09-01,2474.42,2480.38,2473.85,2476.55,0.8142947456422212
2017-09-02,2474.42,2480.38,2473.85,2476.55,0.68196257721729
2017-09-03,2474.42,2480.38,2473.85,2476.55,0.5355850488464305
2017-09-04,2474.42,2480.38,2473.85,2476.55,0.18104087437584235
2017-09-05,2470.35,2471.97,2446.55,2457.85,0.15453840736112573
2017-09-06,2463.83,2469.64,2459.2,2465.54,0.08616754279560337
2017-09-07,2468.06,2468.62,2460.29,2465.1,0.0023487026097716293
2017-09-08,2462.25,2467.11,2459.4,2461.43,-0.05843193244665245
2017-09-09,2462.25,2467.11,2459.4,2461.43,-0.09464379730297208
2017-09-10,2462.25,2467.11,2459.4,2461.43,-0.04551134765108012
2017-09-11,2474.52,2488.95,2474.52,2488.11,-0.16280153103653958
2017-09-12,2491.94,2496.77,2490.37,2496.48,-0.157195019147038
2017-09-13,2493.89,2498.37,2492.14,2498.37,-0.1996818376908778
2017-09-14,2494.56,2498.43,2491.35,2495.62,-0.409329365930121
2017-09-15,2495.67,2500.23,2493.16,2500.23,-0.5883474308748126
2017-09-16,2495.67,2500.23,2493.16,2500.23,-0.673041483065998
2017-09-17,2495.67,2500.23,2493.16,2500.23,-0.7388934470798619
2017-09-18,2502.51,2508.32,2499.92,2503.87,-0.6770526450524721
2017-09-19,2506.29,2507.84,2503.19,2506.65,-0.6242211864048698
2017-09-20,2506.84,2508.85,2496.67,2508.24,-0.5372832634408926
2017-09-21,2507.16,2507.16,2499.0,2500.6,-0.44605512164922284
2017-09-22,2497.26,2503.47,2496.54,2502.22,-0.35899286353801035
2017-09-23,2497.26,2503.47,2496.54,2502.22,-0.21020746327538858
2017-09-24,2497.26,2503.47,2496.54,2502.22,0.08978667817205523
2017-09-25,2499.39,2502.54,2488.03,2496.66,0.34385731704770794
2017-09-26,2501.04,2503.51,2495.12,2496.84,0.3858810954711435
2017-09-27,2503.3,2511.75,2495.91,2507.04,0.5168927366131753
2017-09-28,2503.41,2510.81,2502.93,2510.06,0.4440739473257958
2017-09-29,2509.96,2519.44,2507.99,2519.36,0.3995656783214877
2017-09-30,2509.96,2519.44,2507.99,2519.36,0.4675792313633615
2017-10-01,2509.96,2519.44,2507.99,2519.36,0.4970856266323536
2017-10-02,2521.2,2529.23,2520.4,2529.12,0.4919649028962871
2017-10-03,2530.34,2535.13,2528.85,2534.58,0.43048706811954834
2017-10-04,2533.48,2540.53,2531.8,2537.74,0.3822119906368069
2017-10-05,2540.86,2552.51,2540.02,2552.07,0.2650924628983268
2017-10-06,2547.44,2549.41,2543.79,2549.33,0.3238151586086595
2017-10-07,2547.44,2549.41,2543.79,2549.33,0.37400087940488175
2017-10-08,2547.44,2549.41,2543.79,2549.33,0.35546844999647886
2017-10-09,2551.39,2551.82,2541.6,2544.73,0.2651647566410719
2017-10-10,2549.99,2555.23,2544.86,2550.64,0.010546884756985392
2017-10-11,2550.62,2555.24,2547.95,2555.24,0.23392237614133835
2017-10-12,2552.88,2555.33,2548.31,2550.93,0.33156311009504047
2017-10-13,2555.66,2557.65,2552.09,2553.17,0.31810620605490386
2017-10-14,2555.66,2557.65,2552.09,2553.17,0.42612544092949134
2017-10-15,2555.66,2557.65,2552.09,2553.17,0.5626673786897961
2017-10-16,2555.57,2559.47,2552.64,2557.64,0.6343607676444433
2017-10-17,2557.17,2559.71,2554.69,2559.36,0.5530893202503985
2017-10-18,2562.87,2564.11,2559.67,2561.26,0.3292380919131187
2017-10-19,2553.39,2562.36,2547.92,2562.1,0.22295792209190288
2017-10-20,2567.56,2575.44,2567.56,2575.21,-0.020014238840256517
2017-10-21,2567.56,2575.44,2567.56,2575.21,-0.19123171420201818
2017-10-22,2567.56,2575.44,2567.56,2575.21,-0.3332232224109156
2017-10-23,2578.08,2578.29,2564.33,2564.98,-0.5127458743102294
2017-10-24,2568.66,2572.18,2565.58,2569.13,-0.6428573491714099
2017-10-25,2566.52,2567.4,2544.0,2557.15,-0.6200638266330669
2017-10-26,2560.08,2567.07,2559.8,2560.4,-0.6732059028859723
2017-10-27,2570.26,2582.98,2565.94,2581.07,-0.617426805937656
2017-10-28,2570.26,2582.98,2565.94,2581.07,-0.5670128383172757
2017-10-29,2570.26,2582.98,2565.94,2581.07,-0.37572802216101686
