,0
0,100000.0
1,99717.50959000002
2,99717.50959000002
3,99717.50959000002
4,99833.12959000001
5,100822.86959000002
6,100475.59959000001
7,100267.72959
8,100435.00959000002
9,100435.00959000002
10,100435.00959000002
11,100483.79959000001
12,100568.25959000002
13,101031.14959000002
14,101607.60959000002
15,101808.50959000002
16,101808.50959000002
17,101808.50959000002
18,101808.50959000002
19,101041.80959
20,101357.09959000001
21,101339.05959
22,101188.58959
23,101188.58959
24,101188.58959
25,102282.46959000002
26,102625.63959000002
27,102703.12959000001
28,102590.37959000001
29,102779.38959000002
30,102779.38959000002
31,102779.38959000002
32,102928.62959000001
33,103042.60959000002
34,103107.79959000001
35,102794.55959
36,102860.97959
37,102860.97959
38,102860.97959
39,102633.01959000001
40,102640.39959000002
41,103058.59959000001
42,103182.41959
43,103563.71959000002
44,103563.71959000002
45,103563.71959000002
46,103963.87959000001
47,104187.73959000001
48,104317.29959000001
49,104904.82959000002
50,104792.48959000001
51,104792.48959000001
52,104792.48959000001
53,104603.88959000002
54,104846.19959
55,105034.79959000001
56,104858.08959
57,104949.92959000001
58,104949.92959000001
59,104949.92959000001
60,105133.19959
61,105203.71959000002
62,105281.61959000002
63,105316.05959
64,105853.56959000001
65,105853.56959000001
66,105853.56959000001
67,105434.13959000002
68,105604.28959000001
69,105113.10959000002
70,105246.35959000002
71,106093.82959000002
72,106093.82959000002
73,106093.82959000002
74,105755.98959000001
75,105855.61959000002
76,106023.71959000002
77,106043.80959
78,106371.39959000002
79,106371.39959000002
80,106371.39959000002
81,106506.28959000001
82,106486.19959
83,106639.53959000001
84,106239.37959000001
85,106144.25959000002
86,106144.25959000002
87,106144.25959000002
88,106248.39959000002
89,106003.62959000001
90,105419.37959000001
91,106281.19959
92,106002.80959
93,106002.80959
94,106002.80959
95,106137.69959
96,106830.18959000002
97,106750.23959000001
98,106750.23959000001
99,106969.17959000001
100,106969.17959000001
101,106969.17959000001
102,106928.17959000001
103,107978.59959000001
104,107938.82959000002
105,108820.73959000001
106,108600.97959
107,108600.97959
108,108600.97959
109,108486.99959000002
110,108082.32959000002
111,108070.02959
112,108386.13959000002
113,108981.45959000001
114,108981.45959000001
115,108981.45959000001
116,109329.54959000001
117,109498.46959000002
118,109446.80959
119,109002.36959000002
120,109978.16959
121,109978.16959
122,109978.16959
123,110566.51959000001
124,110210.22959
125,110119.20959000001
126,110337.32959000002
127,110286.89959000002
128,110286.89959000002
129,110286.89959000002
130,110286.89959000002
131,110170.45959000001
132,110257.37959000001
133,110459.09959000001
134,109887.96959000002
135,109887.96959000002
136,109887.96959000002
137,109887.96959000002
138,110798.16959
139,111505.41959
140,111953.54959000001
141,112739.10959000002
142,112739.10959000002
143,112739.10959000002
144,112926.06959000001
145,113072.84959000001
146,112947.38959000002
147,113739.91959
148,114505.79959000001
149,114505.79959000001
150,114505.79959000001
151,114505.79959000001
152,114103.17959000001
153,115174.91959
154,114989.18959000002
155,115492.25959000002
156,115492.25959000002
157,115492.25959000002
158,116421.72959
159,116674.28959000001
160,116609.09959000001
161,116679.20959000001
162,118057.62959000001
163,118057.62959000001
164,118057.62959000001
165,117264.68959000002
166,115989.58959
167,116046.16959
168,115971.13959000002
169,113517.28959000001
170,113517.28959000001
171,113517.28959000001
172,108876.49959000002
173,110770.69959
174,110218.01959000001
175,106090.95959000001
176,107671.50959000002
177,107671.50959000002
178,107671.50959000002
179,109165.95959000001
180,109450.49959000002
181,110913.78959000001
182,112249.15959000001
183,112290.97959
184,112290.97959
185,112290.97959
186,112290.97959
187,111636.61959000002
188,111024.48959000001
189,111132.31959000001
190,112909.25959000002
191,112909.25959000002
192,112909.25959000002
193,114233.55959
194,112785.43959000002
195,111536.98959000001
196,110054.42959000001
197,110611.20959000001
198,110611.20959000001
199,110611.20959000001
200,111828.49959000002
201,112122.87959000001
202,112068.75959000002
203,112567.72959
204,114519.32959000002
205,114519.32959000002
206,114519.32959000002
207,114373.77959
208,113647.66959
209,112998.63959000002
210,112910.48959000001
211,113102.36959000002
212,113102.36959000002
213,113102.36959000002
214,111499.67959000001
215,111664.49959000002
216,111459.08959
217,108661.24959000002
218,106388.61959000002
219,106388.61959000002
220,106388.61959000002
221,109270.50959000002
222,107387.37959000001
223,107074.95959000001
224,108545.62959000001
225,108545.62959000001
226,108545.62959000001
227,108545.62959000001
228,106127.03959000001
